,datasets/IR-Plag-Dataset/case-02/original/T2.java,datasets/IR-Plag-Dataset/case-02/non-plagiarized/03/Nomor2_2451041557A22145B3701B0184109CAB013.java,datasets/IR-Plag-Dataset/case-02/non-plagiarized/04/T02.java,datasets/IR-Plag-Dataset/case-02/non-plagiarized/05/T02.java,datasets/IR-Plag-Dataset/case-02/non-plagiarized/02/T02.java,datasets/IR-Plag-Dataset/case-02/non-plagiarized/11/T02.java,datasets/IR-Plag-Dataset/case-02/non-plagiarized/10/Main.java,datasets/IR-Plag-Dataset/case-02/non-plagiarized/07/Main.java,datasets/IR-Plag-Dataset/case-02/non-plagiarized/09/t02.java,datasets/IR-Plag-Dataset/case-02/non-plagiarized/08/T02.java,datasets/IR-Plag-Dataset/case-02/non-plagiarized/01/T02.java,datasets/IR-Plag-Dataset/case-02/non-plagiarized/06/T02.java,datasets/IR-Plag-Dataset/case-02/non-plagiarized/15/T02.java,datasets/IR-Plag-Dataset/case-02/non-plagiarized/12/T02.java,datasets/IR-Plag-Dataset/case-02/non-plagiarized/13/No2.java,datasets/IR-Plag-Dataset/case-02/non-plagiarized/14/Soal2.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L3/03/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L3/04/Kasus2.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L3/05/inputoutput.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L3/02/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L3/07/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L3/09/Level3.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L3/08/Kasus2L3.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L3/01/L3.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L3/06/inout.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L4/03/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L4/04/Kasus2.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L4/05/inputoutput.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L4/02/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L4/07/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L4/09/Level4.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L4/08/Kasus2L4.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L4/01/L4.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L4/06/inout.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L5/03/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L5/04/Kasus2.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L5/05/inputoutput.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L5/02/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L5/07/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L5/09/Level5.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L5/08/Kasus2L5.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L5/01/L5.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L5/06/inout.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L2/03/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L2/04/Kasus2.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L2/05/inputoutput.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L2/02/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L2/07/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L2/09/Level2.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L2/08/Kasus2L2.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L2/01/L2.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L2/06/inout.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L1/03/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L1/04/Kasus2.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L1/05/inputoutput.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L1/02/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L1/07/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L1/09/Level1.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L1/08/Kasus2L1.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L1/01/L1.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L1/06/inputoutput.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L6/03/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L6/04/Kasus2.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L6/05/inputoutput.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L6/02/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L6/07/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L6/09/Level6.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L6/08/Kasus2L6.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L6/01/L6.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L6/06/inout.java
datasets/IR-Plag-Dataset/case-02/original/T2.java,1.0,0.8333333333333334,0.6630434782608695,0.46534653465346537,0.5,0.4636363636363636,0.7710843373493976,0.7590361445783133,0.5882352941176471,0.8,0.7411764705882353,0.8904109589041096,0.6590909090909091,1.0,0.5934065934065934,0.49056603773584906,0.48514851485148514,1.0,0.5913978494623656,0.7176470588235294,1.0,0.7926829268292683,0.7215189873417721,0.6703296703296703,0.5934065934065934,0.40707964601769914,0.425,0.36220472440944884,0.4830508474576271,0.47863247863247865,0.5178571428571429,0.4166666666666667,0.41935483870967744,0.3949579831932773,0.40707964601769914,0.5048543689320388,0.359375,0.3769230769230769,0.4015748031496063,0.5904761904761905,0.4098360655737705,0.36220472440944884,0.3949579831932773,1.0,0.5233644859813084,0.8266666666666667,1.0,1.0,1.0,0.868421052631579,0.8648648648648649,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9324324324324325,1.0,0.40707964601769914,0.6506024096385542,0.3,0.3769230769230769,0.36153846153846153,0.4,0.3951612903225806,0.2929936305732484,0.44166666666666665
datasets/IR-Plag-Dataset/case-02/non-plagiarized/03/Nomor2_2451041557A22145B3701B0184109CAB013.java,0.8333333333333334,1.0,0.58,0.42990654205607476,0.4897959183673469,0.4067796610169492,0.6703296703296703,0.6413043478260869,0.6057692307692307,0.7529411764705882,0.6276595744680851,0.7654320987654321,0.5729166666666666,0.8333333333333334,0.5151515151515151,0.4818181818181818,0.42201834862385323,0.8333333333333334,0.5,0.6236559139784946,0.8333333333333334,0.6888888888888889,0.6206896551724138,0.57,0.5151515151515151,0.35537190082644626,0.408,0.3283582089552239,0.42857142857142855,0.43548387096774194,0.4583333333333333,0.3779527559055118,0.3816793893129771,0.35714285714285715,0.35537190082644626,0.46788990825688076,0.32592592592592595,0.3333333333333333,0.3656716417910448,0.5087719298245614,0.37209302325581395,0.3283582089552239,0.35714285714285715,0.8333333333333334,0.48672566371681414,0.6904761904761905,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7294117647058823,0.7228915662650602,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7831325301204819,0.8333333333333334,0.35537190082644626,0.5955056179775281,0.2986111111111111,0.3333333333333333,0.3582089552238806,0.384,0.35877862595419846,0.2682926829268293,0.390625
datasets/IR-Plag-Dataset/case-02/non-plagiarized/04/T02.java,0.6630434782608695,0.58,1.0,0.4424778761061947,0.41818181818181815,0.7254901960784313,0.6530612244897959,0.5784313725490197,0.8061224489795918,0.59,0.5825242718446602,0.59375,0.5188679245283019,0.6630434782608695,0.4953271028037383,0.6320754716981132,0.4224137931034483,0.6630434782608695,0.4298245614035088,0.5480769230769231,0.6630434782608695,0.5882352941176471,0.6063829787234043,0.4778761061946903,0.4953271028037383,0.359375,0.4418604651162791,0.2876712328767123,0.37681159420289856,0.48031496062992124,0.5163934426229508,0.3805970149253731,0.3263888888888889,0.34074074074074073,0.359375,0.4782608695652174,0.2857142857142857,0.4057971014492754,0.40875912408759124,0.4330708661417323,0.375,0.2876712328767123,0.34074074074074073,0.6630434782608695,0.4015748031496063,0.5510204081632653,0.6630434782608695,0.6630434782608695,0.6630434782608695,0.5858585858585859,0.5773195876288659,0.6630434782608695,0.6630434782608695,0.6630434782608695,0.6630434782608695,0.6630434782608695,0.6630434782608695,0.6630434782608695,0.6630434782608695,0.6288659793814433,0.6630434782608695,0.359375,0.5353535353535354,0.2468354430379747,0.4057971014492754,0.381294964028777,0.3969465648854962,0.3722627737226277,0.23863636363636365,0.3925925925925926
datasets/IR-Plag-Dataset/case-02/non-plagiarized/05/T02.java,0.46534653465346537,0.42990654205607476,0.4424778761061947,1.0,0.5567010309278351,0.4016393442622951,0.42727272727272725,0.3684210526315789,0.43333333333333335,0.4392523364485981,0.39823008849557523,0.48,0.41818181818181815,0.46534653465346537,0.38392857142857145,0.423728813559322,0.3114754098360656,0.46534653465346537,0.3277310924369748,0.41818181818181815,0.46534653465346537,0.4144144144144144,0.37735849056603776,0.33884297520661155,0.38392857142857145,0.2900763358778626,0.32116788321167883,0.22818791946308725,0.3120567375886525,0.3357664233576642,0.34328358208955223,0.3333333333333333,0.2653061224489796,0.31343283582089554,0.2900763358778626,0.375,0.22666666666666666,0.2945205479452055,0.323943661971831,0.36153846153846153,0.3284671532846715,0.2708333333333333,0.31343283582089554,0.46534653465346537,0.3515625,0.37383177570093457,0.46534653465346537,0.46534653465346537,0.46534653465346537,0.52,0.39622641509433965,0.46534653465346537,0.46534653465346537,0.46534653465346537,0.46534653465346537,0.46534653465346537,0.46534653465346537,0.46534653465346537,0.46534653465346537,0.44339622641509435,0.46534653465346537,0.2900763358778626,0.47,0.2,0.2945205479452055,0.3262411347517731,0.390625,0.32608695652173914,0.22413793103448276,0.2978723404255319
datasets/IR-Plag-Dataset/case-02/non-plagiarized/02/T02.java,0.5,0.4897959183673469,0.41818181818181815,0.5567010309278351,1.0,0.37815126050420167,0.5151515151515151,0.3925233644859813,0.43478260869565216,0.45544554455445546,0.4380952380952381,0.5,0.44660194174757284,0.5,0.4095238095238095,0.47706422018348627,0.33043478260869563,0.5,0.3482142857142857,0.44660194174757284,0.5,0.4423076923076923,0.40404040404040403,0.35964912280701755,0.4095238095238095,0.3064516129032258,0.359375,0.23943661971830985,0.3283582089552239,0.375,0.384,0.373015873015873,0.2785714285714286,0.33070866141732286,0.3064516129032258,0.46296296296296297,0.23776223776223776,0.30935251798561153,0.3609022556390977,0.3709677419354839,0.3671875,0.2846715328467153,0.33070866141732286,0.5,0.371900826446281,0.4,0.5,0.5,0.5,0.5934065934065934,0.42424242424242425,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.47474747474747475,0.5,0.3064516129032258,0.627906976744186,0.2012987012987013,0.30935251798561153,0.3533834586466165,0.3902439024390244,0.3643410852713178,0.23353293413173654,0.31343283582089554
datasets/IR-Plag-Dataset/case-02/non-plagiarized/11/T02.java,0.4636363636363636,0.4067796610169492,0.7254901960784313,0.4016393442622951,0.37815126050420167,1.0,0.46551724137931033,0.4444444444444444,0.6371681415929203,0.4152542372881356,0.4132231404958678,0.4247787610619469,0.7070707070707071,0.4636363636363636,0.5849056603773585,0.5210084033613446,0.5175438596491229,0.4636363636363636,0.5,0.5794392523364486,0.4636363636363636,0.5315315315315315,0.45871559633027525,0.4344262295081967,0.5849056603773585,0.46774193548387094,0.3472222222222222,0.2980132450331126,0.4142857142857143,0.38028169014084506,0.39855072463768115,0.3310344827586207,0.31788079470198677,0.4,0.46774193548387094,0.36923076923076925,0.31333333333333335,0.5538461538461539,0.4357142857142857,0.4728682170542636,0.3448275862068966,0.3611111111111111,0.4,0.4636363636363636,0.30985915492957744,0.3793103448275862,0.4636363636363636,0.4636363636363636,0.4636363636363636,0.43478260869565216,0.4,0.4636363636363636,0.4636363636363636,0.4636363636363636,0.4636363636363636,0.4636363636363636,0.4636363636363636,0.4636363636363636,0.4636363636363636,0.4434782608695652,0.4636363636363636,0.46774193548387094,0.40350877192982454,0.2654320987654321,0.5538461538461539,0.4084507042253521,0.46923076923076923,0.3424657534246575,0.2914285714285714,0.38028169014084506
datasets/IR-Plag-Dataset/case-02/non-plagiarized/10/Main.java,0.7710843373493976,0.6703296703296703,0.6530612244897959,0.42727272727272725,0.5151515151515151,0.46551724137931033,1.0,0.6847826086956522,0.5545454545454546,0.6630434782608695,0.6020408163265306,0.7093023255813954,0.5656565656565656,0.7710843373493976,0.5098039215686274,0.5045045045045045,0.41964285714285715,0.7710843373493976,0.4811320754716981,0.5979381443298969,0.7710843373493976,0.6595744680851063,0.6111111111111112,0.5333333333333333,0.5098039215686274,0.3548387096774194,0.3953488372093023,0.3188405797101449,0.4153846153846154,0.4444444444444444,0.4672131147540984,0.3769230769230769,0.37037037037037035,0.35658914728682173,0.3548387096774194,0.4774774774774775,0.31654676258992803,0.34285714285714286,0.375,0.4915254237288136,0.3712121212121212,0.3284671532846715,0.35658914728682173,0.7710843373493976,0.4700854700854701,0.6404494382022472,0.7710843373493976,0.7710843373493976,0.7710843373493976,0.6777777777777778,0.6704545454545454,0.7710843373493976,0.7710843373493976,0.7710843373493976,0.7710843373493976,0.7710843373493976,0.7710843373493976,0.7710843373493976,0.7710843373493976,0.7272727272727273,0.7710843373493976,0.3548387096774194,0.6590909090909091,0.26490066225165565,0.34285714285714286,0.3381294964028777,0.3937007874015748,0.3684210526315789,0.2694610778443114,0.3893129770992366
datasets/IR-Plag-Dataset/case-02/non-plagiarized/07/Main.java,0.7590361445783133,0.6413043478260869,0.5784313725490197,0.3684210526315789,0.3925233644859813,0.4444444444444444,0.6847826086956522,1.0,0.5178571428571429,0.6170212765957447,0.5757575757575758,0.6781609195402298,0.5714285714285714,0.7590361445783133,0.5612244897959183,0.4434782608695652,0.5643564356435643,0.7590361445783133,0.5145631067961165,0.6210526315789474,0.7590361445783133,0.648936170212766,0.8461538461538461,0.5841584158415841,0.5612244897959183,0.4778761061946903,0.3358208955223881,0.3712121212121212,0.4296875,0.3816793893129771,0.4126984126984127,0.48333333333333334,0.362962962962963,0.38095238095238093,0.4778761061946903,0.39316239316239315,0.3684210526315789,0.3357142857142857,0.3191489361702128,0.5217391304347826,0.47540983606557374,0.32116788321167883,0.38095238095238093,0.7590361445783133,0.4132231404958678,0.6292134831460674,0.7590361445783133,0.7590361445783133,0.7590361445783133,0.6853932584269663,0.6590909090909091,0.7590361445783133,0.7590361445783133,0.7590361445783133,0.7590361445783133,0.7590361445783133,0.7590361445783133,0.7590361445783133,0.7590361445783133,0.7159090909090909,0.7590361445783133,0.4778761061946903,0.4948453608247423,0.32867132867132864,0.3357142857142857,0.2847222222222222,0.375,0.4596774193548387,0.2634730538922156,0.4251968503937008
datasets/IR-Plag-Dataset/case-02/non-plagiarized/09/t02.java,0.5882352941176471,0.6057692307692307,0.8061224489795918,0.43333333333333335,0.43478260869565216,0.6371681415929203,0.5545454545454546,0.5178571428571429,1.0,0.5,0.5221238938053098,0.5428571428571428,0.4166666666666667,0.5882352941176471,0.39669421487603307,0.6545454545454545,0.3384615384615385,0.5882352941176471,0.376,0.452991452991453,0.5882352941176471,0.48695652173913045,0.4953271028037383,0.43089430894308944,0.39669421487603307,0.31654676258992803,0.4233576642335766,0.2389937106918239,0.34459459459459457,0.45925925925925926,0.4696969696969697,0.36619718309859156,0.30718954248366015,0.3194444444444444,0.31654676258992803,0.4435483870967742,0.2375,0.3716216216216216,0.3931034482758621,0.40441176470588236,0.35172413793103446,0.26282051282051283,0.3194444444444444,0.5882352941176471,0.375,0.49074074074074076,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5229357798165137,0.514018691588785,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5607476635514018,0.5882352941176471,0.31654676258992803,0.49074074074074076,0.21176470588235294,0.3716216216216216,0.3673469387755102,0.3617021276595745,0.3493150684931507,0.22043010752688172,0.3310810810810811
datasets/IR-Plag-Dataset/case-02/non-plagiarized/08/T02.java,0.8,0.7529411764705882,0.59,0.4392523364485981,0.45544554455445546,0.4152542372881356,0.6630434782608695,0.6170212765957447,0.5,1.0,0.6559139784946236,0.7349397590361446,0.5670103092783505,0.8,0.51,0.45132743362831856,0.41818181818181815,0.8,0.4807692307692308,0.6170212765957447,0.8,0.6813186813186813,0.6136363636363636,0.5490196078431373,0.51,0.3524590163934426,0.4274193548387097,0.32592592592592595,0.448,0.4435483870967742,0.45454545454545453,0.3968253968253968,0.4,0.376,0.3524590163934426,0.47706422018348627,0.3235294117647059,0.35036496350364965,0.373134328358209,0.5175438596491229,0.390625,0.3458646616541353,0.376,0.8,0.5225225225225225,0.6627906976744186,0.8,0.8,0.8,0.7011494252873564,0.6941176470588235,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.7529411764705882,0.8,0.3524590163934426,0.5888888888888889,0.34285714285714286,0.35036496350364965,0.4076923076923077,0.4745762711864407,0.3769230769230769,0.2822085889570552,0.3875968992248062
