,datasets/IR-Plag-Dataset/case-01/non-plagiarized/03/Nomor1_2451041557A22145B3701B0184109CAB013.java,datasets/IR-Plag-Dataset/case-01/non-plagiarized/04/T01.java,datasets/IR-Plag-Dataset/case-01/non-plagiarized/05/T01.java,datasets/IR-Plag-Dataset/case-01/non-plagiarized/02/T01.java,datasets/IR-Plag-Dataset/case-01/non-plagiarized/11/T01.java,datasets/IR-Plag-Dataset/case-01/non-plagiarized/10/Main.java,datasets/IR-Plag-Dataset/case-01/non-plagiarized/07/Main.java,datasets/IR-Plag-Dataset/case-01/non-plagiarized/09/t01.java,datasets/IR-Plag-Dataset/case-01/non-plagiarized/08/T01.java,datasets/IR-Plag-Dataset/case-01/non-plagiarized/01/T01.java,datasets/IR-Plag-Dataset/case-01/non-plagiarized/06/T01.java,datasets/IR-Plag-Dataset/case-01/non-plagiarized/15/T01.java,datasets/IR-Plag-Dataset/case-01/non-plagiarized/12/T01.java,datasets/IR-Plag-Dataset/case-01/non-plagiarized/13/No1.java,datasets/IR-Plag-Dataset/case-01/non-plagiarized/14/Soal1.java,datasets/IR-Plag-Dataset/case-01/original/T1.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L3/03/HelloWorld.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L3/04/hellow.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L3/05/Kasus1L3.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L3/02/Main.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L3/01/L3.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L3/06/Level3.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L4/03/Main.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L4/04/HelloWorld.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L4/05/hellow.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L4/02/Main.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L4/01/L4.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L4/06/Level4.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L5/03/WelcomeToJava.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L5/04/hellow.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L5/05/PrintJava.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L5/02/Main.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L5/01/L5.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L2/03/WelcomeToJava.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L2/04/hellow.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L2/05/PrintJava.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L2/02/Main.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L2/01/L2.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L1/03/Main.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L1/04/T1.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L1/05/HelloWorld.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L1/02/Main.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L1/07/Main.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L1/09/Level1.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L1/08/Kasus1L1.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L1/01/L1.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L1/06/HelloWorld.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L6/03/Main.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L6/04/WelcomeToJava.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L6/05/HelloWorld.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L6/02/Main.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L6/07/PrintJava.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L6/09/Level6.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L6/08/Kasus1L6.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L6/01/L6.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L6/06/hellow.java
datasets/IR-Plag-Dataset/case-01/non-plagiarized/03/Nomor1_2451041557A22145B3701B0184109CAB013.java,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.8821379271750351,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9208441408582847,0.9999999999999994,0.5164444792639268,0.703489559808637,0.5164444792639268,0.5104740957018563,0.5164444792639268,0.5363356529243091,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5419697171488365,0.5720676826053257,0.5295443014724202,0.4009485888226204,0.5419697171488365,0.6079571128138436,0.5323693229958161,0.43228850987863165,0.8785096729852685,0.9027457390886078,0.8613498746328747,0.5150805243959585,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5104740957018563,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.6428339378008957,0.5013902934661166,0.630896981490954,0.6454478518352952,0.6942054773968233,0.6388842276769261,0.5731571762837462,0.6600826592177441,0.43228850987863165
datasets/IR-Plag-Dataset/case-01/non-plagiarized/04/T01.java,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.8821379271750351,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9208441408582847,0.9999999999999994,0.5164444792639268,0.703489559808637,0.5164444792639268,0.5104740957018563,0.5164444792639268,0.5363356529243091,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5419697171488365,0.5720676826053257,0.5295443014724202,0.4009485888226204,0.5419697171488365,0.6079571128138436,0.5323693229958161,0.43228850987863165,0.8785096729852685,0.9027457390886078,0.8613498746328747,0.5150805243959585,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5104740957018563,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.6428339378008957,0.5013902934661166,0.630896981490954,0.6454478518352952,0.6942054773968233,0.6388842276769261,0.5731571762837462,0.6600826592177441,0.43228850987863165
datasets/IR-Plag-Dataset/case-01/non-plagiarized/05/T01.java,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.8821379271750351,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9208441408582847,0.9999999999999994,0.5164444792639268,0.703489559808637,0.5164444792639268,0.5104740957018563,0.5164444792639268,0.5363356529243091,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5419697171488365,0.5720676826053257,0.5295443014724202,0.4009485888226204,0.5419697171488365,0.6079571128138436,0.5323693229958161,0.43228850987863165,0.8785096729852685,0.9027457390886078,0.8613498746328747,0.5150805243959585,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5104740957018563,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.6428339378008957,0.5013902934661166,0.630896981490954,0.6454478518352952,0.6942054773968233,0.6388842276769261,0.5731571762837462,0.6600826592177441,0.43228850987863165
datasets/IR-Plag-Dataset/case-01/non-plagiarized/02/T01.java,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.8821379271750351,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9208441408582847,0.9999999999999994,0.5164444792639268,0.703489559808637,0.5164444792639268,0.5104740957018563,0.5164444792639268,0.5363356529243091,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5419697171488365,0.5720676826053257,0.5295443014724202,0.4009485888226204,0.5419697171488365,0.6079571128138436,0.5323693229958161,0.43228850987863165,0.8785096729852685,0.9027457390886078,0.8613498746328747,0.5150805243959585,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5104740957018563,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.6428339378008957,0.5013902934661166,0.630896981490954,0.6454478518352952,0.6942054773968233,0.6388842276769261,0.5731571762837462,0.6600826592177441,0.43228850987863165
datasets/IR-Plag-Dataset/case-01/non-plagiarized/11/T01.java,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.8821379271750351,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9208441408582847,0.9999999999999994,0.5164444792639268,0.703489559808637,0.5164444792639268,0.5104740957018563,0.5164444792639268,0.5363356529243091,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5419697171488365,0.5720676826053257,0.5295443014724202,0.4009485888226204,0.5419697171488365,0.6079571128138436,0.5323693229958161,0.43228850987863165,0.8785096729852685,0.9027457390886078,0.8613498746328747,0.5150805243959585,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5104740957018563,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.6428339378008957,0.5013902934661166,0.630896981490954,0.6454478518352952,0.6942054773968233,0.6388842276769261,0.5731571762837462,0.6600826592177441,0.43228850987863165
datasets/IR-Plag-Dataset/case-01/non-plagiarized/10/Main.java,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.8821379271750351,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9208441408582847,0.9999999999999994,0.5164444792639268,0.703489559808637,0.5164444792639268,0.5104740957018563,0.5164444792639268,0.5363356529243091,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5419697171488365,0.5720676826053257,0.5295443014724202,0.4009485888226204,0.5419697171488365,0.6079571128138436,0.5323693229958161,0.43228850987863165,0.8785096729852685,0.9027457390886078,0.8613498746328747,0.5150805243959585,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5104740957018563,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.6428339378008957,0.5013902934661166,0.630896981490954,0.6454478518352952,0.6942054773968233,0.6388842276769261,0.5731571762837462,0.6600826592177441,0.43228850987863165
datasets/IR-Plag-Dataset/case-01/non-plagiarized/07/Main.java,0.8821379271750351,0.8821379271750351,0.8821379271750351,0.8821379271750351,0.8821379271750351,0.8821379271750351,1.0000000000000007,0.8821379271750351,0.8821379271750351,0.8821379271750351,0.8821379271750351,0.8164816379650851,0.8821379271750351,0.45267232065330093,0.6331419506360924,0.45267232065330093,0.4479087697660008,0.45267232065330093,0.5517988994592399,0.45267232065330093,0.45267232065330093,0.45267232065330093,0.47588990147413973,0.5301335976488215,0.46536899404948545,0.35811137903739754,0.47588990147413973,0.6082784578103917,0.47506291098844683,0.388478682733914,0.7772791302797925,0.7968540039467952,0.7636735007194073,0.4503451296899397,0.45267232065330093,0.45267232065330093,0.45267232065330093,0.45267232065330093,0.45267232065330093,0.45267232065330093,0.4479087697660008,0.45267232065330093,0.45267232065330093,0.45267232065330093,0.45267232065330093,0.45267232065330093,0.45267232065330093,0.5774359094903395,0.47301223658451824,0.6000153286902318,0.7704010472391165,0.6240524532961985,0.6743304536402897,0.5401387790878319,0.5960913441983589,0.388478682733914
datasets/IR-Plag-Dataset/case-01/non-plagiarized/09/t01.java,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.8821379271750351,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9208441408582847,0.9999999999999994,0.5164444792639268,0.703489559808637,0.5164444792639268,0.5104740957018563,0.5164444792639268,0.5363356529243091,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5419697171488365,0.5720676826053257,0.5295443014724202,0.4009485888226204,0.5419697171488365,0.6079571128138436,0.5323693229958161,0.43228850987863165,0.8785096729852685,0.9027457390886078,0.8613498746328747,0.5150805243959585,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5104740957018563,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.6428339378008957,0.5013902934661166,0.630896981490954,0.6454478518352952,0.6942054773968233,0.6388842276769261,0.5731571762837462,0.6600826592177441,0.43228850987863165
datasets/IR-Plag-Dataset/case-01/non-plagiarized/08/T01.java,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.8821379271750351,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9208441408582847,0.9999999999999994,0.5164444792639268,0.703489559808637,0.5164444792639268,0.5104740957018563,0.5164444792639268,0.5363356529243091,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5419697171488365,0.5720676826053257,0.5295443014724202,0.4009485888226204,0.5419697171488365,0.6079571128138436,0.5323693229958161,0.43228850987863165,0.8785096729852685,0.9027457390886078,0.8613498746328747,0.5150805243959585,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5104740957018563,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.6428339378008957,0.5013902934661166,0.630896981490954,0.6454478518352952,0.6942054773968233,0.6388842276769261,0.5731571762837462,0.6600826592177441,0.43228850987863165
datasets/IR-Plag-Dataset/case-01/non-plagiarized/01/T01.java,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.8821379271750351,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9999999999999994,0.9208441408582847,0.9999999999999994,0.5164444792639268,0.703489559808637,0.5164444792639268,0.5104740957018563,0.5164444792639268,0.5363356529243091,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5419697171488365,0.5720676826053257,0.5295443014724202,0.4009485888226204,0.5419697171488365,0.6079571128138436,0.5323693229958161,0.43228850987863165,0.8785096729852685,0.9027457390886078,0.8613498746328747,0.5150805243959585,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5104740957018563,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.5164444792639268,0.6428339378008957,0.5013902934661166,0.630896981490954,0.6454478518352952,0.6942054773968233,0.6388842276769261,0.5731571762837462,0.6600826592177441,0.43228850987863165
