,datasets/IR-Plag-Dataset/case-02/original/T2.java,datasets/IR-Plag-Dataset/case-02/non-plagiarized/03/Nomor2_2451041557A22145B3701B0184109CAB013.java,datasets/IR-Plag-Dataset/case-02/non-plagiarized/04/T02.java,datasets/IR-Plag-Dataset/case-02/non-plagiarized/05/T02.java,datasets/IR-Plag-Dataset/case-02/non-plagiarized/02/T02.java,datasets/IR-Plag-Dataset/case-02/non-plagiarized/11/T02.java,datasets/IR-Plag-Dataset/case-02/non-plagiarized/10/Main.java,datasets/IR-Plag-Dataset/case-02/non-plagiarized/07/Main.java,datasets/IR-Plag-Dataset/case-02/non-plagiarized/09/t02.java,datasets/IR-Plag-Dataset/case-02/non-plagiarized/08/T02.java,datasets/IR-Plag-Dataset/case-02/non-plagiarized/01/T02.java,datasets/IR-Plag-Dataset/case-02/non-plagiarized/06/T02.java,datasets/IR-Plag-Dataset/case-02/non-plagiarized/15/T02.java,datasets/IR-Plag-Dataset/case-02/non-plagiarized/12/T02.java,datasets/IR-Plag-Dataset/case-02/non-plagiarized/13/No2.java,datasets/IR-Plag-Dataset/case-02/non-plagiarized/14/Soal2.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L3/03/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L3/04/Kasus2.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L3/05/inputoutput.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L3/02/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L3/07/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L3/09/Level3.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L3/08/Kasus2L3.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L3/01/L3.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L3/06/inout.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L4/03/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L4/04/Kasus2.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L4/05/inputoutput.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L4/02/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L4/07/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L4/09/Level4.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L4/08/Kasus2L4.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L4/01/L4.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L4/06/inout.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L5/03/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L5/04/Kasus2.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L5/05/inputoutput.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L5/02/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L5/07/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L5/09/Level5.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L5/08/Kasus2L5.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L5/01/L5.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L5/06/inout.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L2/03/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L2/04/Kasus2.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L2/05/inputoutput.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L2/02/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L2/07/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L2/09/Level2.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L2/08/Kasus2L2.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L2/01/L2.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L2/06/inout.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L1/03/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L1/04/Kasus2.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L1/05/inputoutput.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L1/02/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L1/07/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L1/09/Level1.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L1/08/Kasus2L1.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L1/01/L1.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L1/06/inputoutput.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L6/03/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L6/04/Kasus2.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L6/05/inputoutput.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L6/02/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L6/07/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L6/09/Level6.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L6/08/Kasus2L6.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L6/01/L6.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L6/06/inout.java
datasets/IR-Plag-Dataset/case-02/original/T2.java,1.0,1.0,0.9659466784984927,0.9048447372138531,0.9552160367492563,0.9148933604266756,0.9909924304103234,1.0,0.9743102625985615,0.9951573565277038,0.9893157456541886,0.9806854475874519,0.8834893901483606,1.0,0.8834893901483606,0.9371176518630923,0.8661471185207905,1.0,0.9257749842061284,0.9339015344518227,1.0,0.9777753986076715,1.0,0.9742158423965251,0.8834893901483606,0.8613973647824797,0.9199637227691645,0.9126884097434466,0.9133193026890123,0.9395422778390796,0.9443853113589715,0.9451312148983838,0.9499893024643739,0.8942128228698915,0.8613973647824797,0.960389195178277,0.8946197488153129,0.9035703322456452,0.9254695201209386,0.9598274835511899,0.9382436852162631,0.915725024779317,0.8942128228698915,1.0,0.9384979839167191,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9964272219645983,1.0,0.8613973647824797,0.9552081426205222,0.8723471941478635,0.9035703322456452,0.9217963777596535,0.9163353585997466,0.9272386609844333,0.8931455036203749,0.9428439904312483
datasets/IR-Plag-Dataset/case-02/non-plagiarized/03/Nomor2_2451041557A22145B3701B0184109CAB013.java,1.0,1.0,0.9659466784984927,0.9048447372138531,0.9552160367492563,0.9148933604266756,0.9909924304103234,1.0,0.9743102625985615,0.9951573565277038,0.9893157456541886,0.9806854475874519,0.8834893901483606,1.0,0.8834893901483606,0.9371176518630923,0.8661471185207905,1.0,0.9257749842061284,0.9339015344518227,1.0,0.9777753986076715,1.0,0.9742158423965251,0.8834893901483606,0.8613973647824797,0.9199637227691645,0.9126884097434466,0.9133193026890123,0.9395422778390796,0.9443853113589715,0.9451312148983838,0.9499893024643739,0.8942128228698915,0.8613973647824797,0.960389195178277,0.8946197488153129,0.9035703322456452,0.9254695201209386,0.9598274835511899,0.9382436852162631,0.915725024779317,0.8942128228698915,1.0,0.9384979839167191,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9964272219645983,1.0,0.8613973647824797,0.9552081426205222,0.8723471941478635,0.9035703322456452,0.9217963777596535,0.9163353585997466,0.9272386609844333,0.8931455036203749,0.9428439904312483
datasets/IR-Plag-Dataset/case-02/non-plagiarized/04/T02.java,0.9659466784984927,0.9659466784984927,0.9999999999999999,0.8966436395095688,0.9204136918089314,0.9198496481644561,0.9661705145318695,0.9659466784984927,0.9943843760620548,0.9687206403547745,0.9563076506334656,0.9181539142474914,0.8242861966850076,0.9659466784984927,0.8242861966850076,0.9741775419753447,0.8052283854759184,0.9659466784984927,0.8640972911099601,0.8843084234347,0.9659466784984927,0.9340464870400537,0.9659466784984927,0.9300228646305596,0.8242861966850076,0.8011063107537967,0.8585018501323101,0.8490093319130967,0.8360055677147951,0.8810597474776571,0.8856013226581545,0.8838244834037177,0.8832770801866997,0.814068593269023,0.8011063107537967,0.9166182643470348,0.8319392196074853,0.8217701998387461,0.8564778312915238,0.8867477326172805,0.8686234088879867,0.8352164022787872,0.814068593269023,0.9659466784984927,0.8703770052458846,0.9659466784984927,0.9659466784984927,0.9659466784984927,0.9659466784984927,0.9659466784984927,0.9659466784984927,0.9659466784984927,0.9659466784984927,0.9659466784984927,0.9659466784984927,0.9659466784984927,0.9659466784984927,0.9659466784984927,0.9659466784984927,0.9613275729045561,0.9659466784984927,0.8011063107537967,0.8990578648613265,0.8218390804597699,0.8217701998387461,0.8650008813802733,0.8606193566817023,0.8594323494812074,0.8106653725864427,0.8705133886367196
datasets/IR-Plag-Dataset/case-02/non-plagiarized/05/T02.java,0.9048447372138531,0.9048447372138531,0.8966436395095688,1.0,0.9695633416524744,0.8578399164447492,0.9289799273499806,0.9048447372138531,0.9295059436133792,0.8942953426663887,0.8745127600507403,0.8753957229901703,0.8109619410699831,0.9048447372138531,0.8109619410699831,0.9519848933832729,0.8007903476163075,0.9048447372138531,0.8198500183021269,0.8728445014520325,0.9048447372138531,0.9010418433880865,0.9048447372138531,0.9231921393524409,0.8109619410699831,0.7961559792816798,0.8083874587173799,0.809381042659885,0.7700102137529343,0.8032723014252553,0.8074129077323506,0.8028272421448018,0.8464938495171369,0.7712201086178043,0.7961559792816798,0.8851014701685362,0.806478174891798,0.753928875612264,0.791655543423036,0.8671729371593285,0.8070618992711747,0.8008540177425069,0.7712201086178043,0.9048447372138531,0.7791006857290841,0.9048447372138531,0.9048447372138531,0.9048447372138531,0.9048447372138531,0.9048447372138531,0.9048447372138531,0.9048447372138531,0.9048447372138531,0.9048447372138531,0.9048447372138531,0.9048447372138531,0.9048447372138531,0.9048447372138531,0.9048447372138531,0.9317243348869194,0.9048447372138531,0.7961559792816798,0.9133884645701543,0.806265766031151,0.753928875612264,0.8014211074785464,0.8680476974376785,0.8186503394926558,0.8064321054282757,0.8066933656128311
datasets/IR-Plag-Dataset/case-02/non-plagiarized/02/T02.java,0.9552160367492563,0.9552160367492563,0.9204136918089314,0.9695633416524744,1.0,0.9053976623216863,0.9748378030633831,0.9552160367492563,0.9514165071963728,0.9402577631524746,0.9287061252557822,0.94920899340051,0.884171168206039,0.9552160367492563,0.884171168206039,0.95944097620715,0.8741804182715855,0.9552160367492563,0.8975725067264505,0.913922704162366,0.9552160367492563,0.9467965984261414,0.9552160367492563,0.9596778764888378,0.884171168206039,0.8713059158786228,0.884171168206039,0.8897247099385793,0.8437561813428853,0.8720880163730166,0.8765833452104849,0.8748127414598211,0.9058397099434852,0.8613499927342851,0.8713059158786228,0.9479395219617257,0.8849262946314299,0.847062084874805,0.8711362346122066,0.9420336304761634,0.8858394491964894,0.8844346488083966,0.8613499927342851,0.9552160367492563,0.8625850110384149,0.9552160367492563,0.9552160367492563,0.9552160367492563,0.9552160367492563,0.9552160367492563,0.9552160367492563,0.9552160367492563,0.9552160367492563,0.9552160367492563,0.9552160367492563,0.9552160367492563,0.9552160367492563,0.9552160367492563,0.9552160367492563,0.9712376844296307,0.9552160367492563,0.8713059158786228,0.9791137460516657,0.8686155186768271,0.847062084874805,0.8664379047610876,0.9281474480987219,0.8948102383258533,0.873087185389723,0.8923294615201557
datasets/IR-Plag-Dataset/case-02/non-plagiarized/11/T02.java,0.9148933604266756,0.9148933604266756,0.9198496481644561,0.8578399164447492,0.9053976623216863,1.0,0.9268163006740668,0.9148933604266756,0.9232333470386086,0.9171821411523233,0.9075288212587082,0.9010471316092518,0.9648467391221524,0.9148933604266756,0.9648467391221524,0.919475360677426,0.956854766345297,0.9148933604266756,0.9610627538266935,0.9484499142940803,0.9148933604266756,0.9496990063730161,0.9148933604266756,0.9416978263553148,0.9648467391221524,0.9533095933644739,0.8246073875055603,0.9449507520520247,0.8839228117661965,0.8384629115346542,0.8231281229453588,0.8220164133523865,0.8714743165599752,0.9057112226524026,0.9533095933644739,0.8919587423342359,0.9479880234321981,0.8978252267159218,0.8832848060447864,0.9299856836261254,0.8539929256512951,0.9050515827845139,0.9057112226524026,0.9148933604266756,0.819273102242063,0.9148933604266756,0.9148933604266756,0.9148933604266756,0.9148933604266756,0.9148933604266756,0.9148933604266756,0.9148933604266756,0.9148933604266756,0.9148933604266756,0.9148933604266756,0.9148933604266756,0.9148933604266756,0.9148933604266756,0.9148933604266756,0.9087322997029237,0.9148933604266756,0.9533095933644739,0.9115925186465154,0.9379875285507973,0.8978252267159218,0.8824268017915036,0.9345744878249724,0.8565350276770716,0.9028811952958219,0.8981201169331772
datasets/IR-Plag-Dataset/case-02/non-plagiarized/10/Main.java,0.9909924304103234,0.9909924304103234,0.9661705145318695,0.9289799273499806,0.9748378030633831,0.9268163006740668,1.0,0.9909924304103234,0.9778803607803971,0.9861934073861018,0.9787795736433778,0.9701536051928096,0.8900764497242545,0.9909924304103234,0.8900764497242545,0.9596006113656519,0.8752267901506487,0.9909924304103234,0.9218487721185739,0.9312395182209747,0.9909924304103234,0.9723399059786383,0.9909924304103234,0.9725567946297713,0.8900764497242545,0.8734879039650607,0.9167787432159822,0.9140497698035468,0.8917965689820628,0.9231326627541018,0.9278911100687961,0.9265310764065725,0.9381876562987662,0.8887804254971986,0.8734879039650607,0.9671986743191174,0.9008784162715603,0.8895897757057731,0.9135538830673674,0.9564185071743383,0.9260767404588565,0.9091564578749005,0.8887804254971986,0.9909924304103234,0.9173810170855897,0.9909924304103234,0.9909924304103234,0.9909924304103234,0.9909924304103234,0.9909924304103234,0.9909924304103234,0.9909924304103234,0.9909924304103234,0.9909924304103234,0.9909924304103234,0.9909924304103234,0.9909924304103234,0.9909924304103234,0.9909924304103234,0.9919413855759323,0.9909924304103234,0.8734879039650607,0.9661285886789843,0.8839432366993699,0.8895897757057731,0.9125020682533664,0.9312247779492417,0.9233062414430621,0.8871163013203575,0.9322080363800342
datasets/IR-Plag-Dataset/case-02/non-plagiarized/07/Main.java,1.0,1.0,0.9659466784984927,0.9048447372138531,0.9552160367492563,0.9148933604266756,0.9909924304103234,1.0,0.9743102625985615,0.9951573565277038,0.9893157456541886,0.9806854475874519,0.8834893901483606,1.0,0.8834893901483606,0.9371176518630923,0.8661471185207905,1.0,0.9257749842061284,0.9339015344518227,1.0,0.9777753986076715,1.0,0.9742158423965251,0.8834893901483606,0.8613973647824797,0.9199637227691645,0.9126884097434466,0.9133193026890123,0.9395422778390796,0.9443853113589715,0.9451312148983838,0.9499893024643739,0.8942128228698915,0.8613973647824797,0.960389195178277,0.8946197488153129,0.9035703322456452,0.9254695201209386,0.9598274835511899,0.9382436852162631,0.915725024779317,0.8942128228698915,1.0,0.9384979839167191,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9964272219645983,1.0,0.8613973647824797,0.9552081426205222,0.8723471941478635,0.9035703322456452,0.9217963777596535,0.9163353585997466,0.9272386609844333,0.8931455036203749,0.9428439904312483
datasets/IR-Plag-Dataset/case-02/non-plagiarized/09/t02.java,0.9743102625985615,0.9743102625985615,0.9943843760620548,0.9295059436133792,0.9514165071963728,0.9232333470386086,0.9778803607803971,0.9743102625985615,0.9999999999999998,0.9695920253653976,0.9554589398369171,0.9381026756366436,0.8413753371192063,0.9743102625985615,0.8413753371192063,0.9850810197057982,0.8238448512815085,0.9743102625985615,0.8761832918306992,0.8991137368603727,0.9743102625985615,0.9463257847986227,0.9743102625985615,0.9481622371234666,0.8413753371192063,0.8166666666666667,0.8645856912466326,0.8572417325224794,0.8418799823976723,0.8824844318051829,0.887033350767984,0.8865936989945137,0.8946135105917713,0.824730338355736,0.8166666666666667,0.9262116498428254,0.8424179954725832,0.827329247766889,0.8610567718228915,0.905996145435532,0.8755365255946055,0.8486350520765114,0.824730338355736,0.9743102625985615,0.8729120165291784,0.9743102625985615,0.9743102625985615,0.9743102625985615,0.9743102625985615,0.9743102625985615,0.9743102625985615,0.9743102625985615,0.9743102625985615,0.9743102625985615,0.9743102625985615,0.9743102625985615,0.9743102625985615,0.9743102625985615,0.9743102625985615,0.9766666666666666,0.9743102625985615,0.8166666666666667,0.9285623184658158,0.8282069331621965,0.827329247766889,0.8646210762920631,0.8746617132256228,0.8691304034653535,0.8297764953637,0.8767184472406234
datasets/IR-Plag-Dataset/case-02/non-plagiarized/08/T02.java,0.9951573565277038,0.9951573565277038,0.9687206403547745,0.8942953426663887,0.9402577631524746,0.9171821411523233,0.9861934073861018,0.9951573565277038,0.9695920253653976,0.9999999999999999,0.9938128124260458,0.9675230933166072,0.8792109660203157,0.9951573565277038,0.8792109660203157,0.932579525183524,0.861952676831238,0.9951573565277038,0.9212917860220475,0.9293789822822424,0.9951573565277038,0.9730403809562326,0.9951573565277038,0.9654918720662128,0.8792109660203157,0.8610873024949569,0.927607899929691,0.9155347338551523,0.9136927101219648,0.9455374367358488,0.9504113733414018,0.9477615938911664,0.9485612887518224,0.8963779614546865,0.8610873024949569,0.9656423972990663,0.8976757017088449,0.9076510394180822,0.9309623983153232,0.9516416798413906,0.9409662542400177,0.9144113528251229,0.8963779614546865,0.9951573565277038,0.9410285756052413,0.9951573565277038,0.9951573565277038,0.9951573565277038,0.9951573565277038,0.9951573565277038,0.9951573565277038,0.9951573565277038,0.9951573565277038,0.9951573565277038,0.9951573565277038,0.9951573565277038,0.9951573565277038,0.9951573565277038,0.9951573565277038,0.9869682265368206,0.9951573565277038,0.8610873024949569,0.9405762795108824,0.8830261221695442,0.9076510394180822,0.934072089733294,0.9238965293827394,0.9305682762163663,0.8888203183774575,0.9452026950037523
