,datasets/IR-Plag-Dataset/case-02/non-plagiarized/03/Nomor2_2451041557A22145B3701B0184109CAB013.java,datasets/IR-Plag-Dataset/case-02/non-plagiarized/04/T02.java,datasets/IR-Plag-Dataset/case-02/non-plagiarized/05/T02.java,datasets/IR-Plag-Dataset/case-02/non-plagiarized/02/T02.java,datasets/IR-Plag-Dataset/case-02/non-plagiarized/11/T02.java,datasets/IR-Plag-Dataset/case-02/non-plagiarized/10/Main.java,datasets/IR-Plag-Dataset/case-02/non-plagiarized/07/Main.java,datasets/IR-Plag-Dataset/case-02/non-plagiarized/09/t02.java,datasets/IR-Plag-Dataset/case-02/non-plagiarized/08/T02.java,datasets/IR-Plag-Dataset/case-02/non-plagiarized/01/T02.java,datasets/IR-Plag-Dataset/case-02/non-plagiarized/06/T02.java,datasets/IR-Plag-Dataset/case-02/non-plagiarized/15/T02.java,datasets/IR-Plag-Dataset/case-02/non-plagiarized/12/T02.java,datasets/IR-Plag-Dataset/case-02/non-plagiarized/13/No2.java,datasets/IR-Plag-Dataset/case-02/non-plagiarized/14/Soal2.java,datasets/IR-Plag-Dataset/case-02/original/T2.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L3/03/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L3/04/Kasus2.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L3/05/inputoutput.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L3/02/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L3/07/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L3/09/Level3.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L3/08/Kasus2L3.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L3/01/L3.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L3/06/inout.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L4/03/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L4/04/Kasus2.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L4/05/inputoutput.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L4/02/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L4/07/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L4/09/Level4.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L4/08/Kasus2L4.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L4/01/L4.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L4/06/inout.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L5/03/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L5/04/Kasus2.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L5/05/inputoutput.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L5/02/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L5/07/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L5/09/Level5.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L5/08/Kasus2L5.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L5/01/L5.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L5/06/inout.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L2/03/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L2/04/Kasus2.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L2/05/inputoutput.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L2/02/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L2/07/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L2/09/Level2.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L2/08/Kasus2L2.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L2/01/L2.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L2/06/inout.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L1/03/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L1/04/Kasus2.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L1/05/inputoutput.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L1/02/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L1/07/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L1/09/Level1.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L1/08/Kasus2L1.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L1/01/L1.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L1/06/inputoutput.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L6/03/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L6/04/Kasus2.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L6/05/inputoutput.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L6/02/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L6/07/Main.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L6/09/Level6.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L6/08/Kasus2L6.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L6/01/L6.java,datasets/IR-Plag-Dataset/case-02/plagiarized/L6/06/inout.java
datasets/IR-Plag-Dataset/case-02/non-plagiarized/03/Nomor2_2451041557A22145B3701B0184109CAB013.java,0.9999999999999999,0.9293544899751697,0.7932449764180113,0.8482511522589744,0.8734599335421827,0.9251135353364152,0.9349131273278578,0.9519652785978376,0.9681146850056329,0.9172290694539789,0.9489847318406073,0.888931874824598,0.9724756237640649,0.8698333183448188,0.8626474676172451,0.9724756237640649,0.849645426428233,0.9724756237640649,0.900286181201722,0.8994927537082439,0.9724756237640649,0.948853193352862,0.9598616833305073,0.9328992372538273,0.8698333183448188,0.8342930539491128,0.865047686906059,0.8475486528987328,0.8474779416594176,0.8524107513721454,0.8505958361465882,0.7953491247645955,0.8834130778658501,0.8273762890352943,0.8342930539491128,0.9264034654569567,0.8380979945043281,0.8257214941349451,0.8388043803726178,0.9050657418769458,0.8218262321446463,0.84612444487453,0.8273762890352943,0.9724756237640649,0.8953175768935783,0.9506152463950425,0.9724756237640649,0.9724756237640649,0.9724756237640649,0.8989986625611123,0.9584878570496177,0.9724756237640649,0.9724756237640649,0.9724756237640649,0.9724756237640649,0.9724756237640649,0.9724756237640649,0.9724756237640649,0.9724756237640649,0.9654869266809075,0.9724756237640649,0.8342930539491128,0.9171895001101757,0.831818302965263,0.8257214941349451,0.8349798779357913,0.8564068191335943,0.8019129262328746,0.8077596646306129,0.8538000982496006
datasets/IR-Plag-Dataset/case-02/non-plagiarized/04/T02.java,0.9293544899751697,0.9999999999999997,0.8093991706163234,0.8171782785157625,0.9586552338120569,0.9304181192522339,0.9269652435695648,0.9859872133032485,0.9464110737917825,0.9004682243593694,0.9350807397600654,0.8984436262470489,0.9509513688542146,0.8881894395913529,0.9111371797888429,0.9509513688542146,0.8683736890168811,0.9509513688542146,0.9009351540061395,0.8945832179341848,0.9509513688542146,0.9378429470864186,0.9487916494161295,0.9227902810507954,0.8881894395913529,0.8536404289360652,0.880640826061489,0.8513873222299296,0.849129003965395,0.8645346352964212,0.8692795749341039,0.7968749779351276,0.8772682623218914,0.8414063077870569,0.8536404289360652,0.9254343096198371,0.8443151623092342,0.8597367264615408,0.8597917215469544,0.9045539512494126,0.8255040617948084,0.8517725483880217,0.8414063077870569,0.9509513688542146,0.8843485760330416,0.9272068736939917,0.9509513688542146,0.9509513688542146,0.9509513688542146,0.8868730719974965,0.9339197209851499,0.9509513688542146,0.9509513688542146,0.9509513688542146,0.9509513688542146,0.9509513688542146,0.9509513688542146,0.9509513688542146,0.9509513688542146,0.9499564137396145,0.9509513688542146,0.8536404289360652,0.9088791275386355,0.8317603137223362,0.8597367264615408,0.8509966224269838,0.8675401741953999,0.8216365133973095,0.8186833311139984,0.8626494686865852
datasets/IR-Plag-Dataset/case-02/non-plagiarized/05/T02.java,0.7932449764180113,0.8093991706163234,1.0,0.8460276261581137,0.7923994610186414,0.7978281520663555,0.7836286957908716,0.8185079419077771,0.7951990068331233,0.7649100747077494,0.8058342076270087,0.7756100125742985,0.8000245177307794,0.766459586468204,0.778170108702497,0.8000245177307794,0.7494330842800703,0.8000245177307794,0.7629464726246095,0.7434129579886127,0.8000245177307794,0.7816344932115771,0.7893035481351992,0.775049058433705,0.766459586468204,0.7337081468156185,0.7361338172521801,0.7205816234936077,0.7023499390809385,0.7161718701888661,0.7179884310126952,0.7600641021029767,0.7398090304143647,0.7263910711138981,0.7337081468156185,0.7923728829584875,0.7221625904394242,0.7136619010508212,0.7173689403601298,0.7835305859201974,0.7565079580861047,0.7330132728601512,0.7263910711138981,0.8000245177307794,0.7481151944443689,0.7814929331450202,0.8000245177307794,0.8000245177307794,0.8000245177307794,0.8456591000002792,0.7872005407595624,0.8000245177307794,0.8000245177307794,0.8000245177307794,0.8000245177307794,0.8000245177307794,0.8000245177307794,0.8000245177307794,0.8000245177307794,0.8022132933817686,0.8000245177307794,0.7337081468156185,0.810581713214202,0.709499019740004,0.7136619010508212,0.7085479174892566,0.762204708646581,0.7515222955136253,0.697961155522181,0.7362589800263124
datasets/IR-Plag-Dataset/case-02/non-plagiarized/02/T02.java,0.8482511522589744,0.8171782785157625,0.8460276261581137,1.0000000000000004,0.7983860640950545,0.8480254884877126,0.8170064422809162,0.8380723928509763,0.835444017882781,0.8249019841864296,0.8344141124370659,0.8062334101040775,0.8366168463556927,0.7964863310078576,0.811916833352168,0.8366168463556927,0.7772858631495867,0.8366168463556927,0.7949799066547822,0.7680715126699845,0.8366168463556927,0.8117878936591366,0.822355611273141,0.8002830192476107,0.7964863310078576,0.7652290741449917,0.771449260116115,0.7568889762724285,0.7182437140212055,0.7478581303715677,0.7415930783678885,0.8274231857842396,0.7586134964390825,0.7484724279554368,0.7652290741449917,0.8436410327132711,0.7579574297483014,0.7331964120454297,0.7477996067253312,0.808865711399873,0.808233401596404,0.7525980798144081,0.7484724279554368,0.8366168463556927,0.7731284011706344,0.8178497447684627,0.8366168463556927,0.8366168463556927,0.8366168463556927,0.9302491937145337,0.8250477688325554,0.8366168463556927,0.8366168463556927,0.8366168463556927,0.8366168463556927,0.8366168463556927,0.8366168463556927,0.8366168463556927,0.8366168463556927,0.8318722362348879,0.8366168463556927,0.7652290741449917,0.8688606542805173,0.7490543598427976,0.7331964120454297,0.7426164907220074,0.7926397495153028,0.8061200650920557,0.714035138946163,0.7603529418714919
datasets/IR-Plag-Dataset/case-02/non-plagiarized/11/T02.java,0.8734599335421827,0.9586552338120569,0.7923994610186414,0.7983860640950545,0.9999999999999998,0.8914796628547518,0.8868635751386933,0.9470732409603226,0.9035795185659428,0.8580741068709539,0.8829070600989816,0.9590039566639632,0.8938198471886075,0.9564597833243886,0.8844368595889729,0.8938198471886075,0.9368339669267872,0.8938198471886075,0.9184286820844149,0.8862962238091036,0.8938198471886075,0.9055713443722901,0.8969044119679199,0.8939496048103047,0.9564597833243886,0.9187800359037697,0.8529085546362986,0.8687699040641366,0.8547463093469413,0.8362665453914832,0.8327206215597064,0.7813186764975769,0.8570488806503557,0.8959631603671536,0.9187800359037697,0.8822842328833633,0.8791631792530428,0.8946684603352973,0.8650313166112789,0.9178548534746939,0.8170385129315472,0.8830144836915561,0.8959631603671536,0.8938198471886075,0.8452491879234982,0.8700309261968465,0.8938198471886075,0.8938198471886075,0.8938198471886075,0.8512834679255966,0.8763097941506978,0.8938198471886075,0.8938198471886075,0.8938198471886075,0.8938198471886075,0.8938198471886075,0.8938198471886075,0.8938198471886075,0.8938198471886075,0.8951389497994258,0.8938198471886075,0.9187800359037697,0.8694021253689426,0.8641902879174741,0.8946684603352973,0.8627266893725948,0.9018452007098827,0.8196874068537306,0.8484393576827731,0.8747597837202392
datasets/IR-Plag-Dataset/case-02/non-plagiarized/10/Main.java,0.9251135353364152,0.9304181192522339,0.7978281520663555,0.8480254884877126,0.8914796628547518,1.0000000000000002,0.9653292507496529,0.9224529818704391,0.9364683572120123,0.8942699882770926,0.9344770355573478,0.888902946223803,0.9448791222496248,0.8731694469337944,0.8588829012601527,0.9448791222496248,0.8530126566540217,0.9448791222496248,0.8861147174094391,0.8733957617290897,0.9448791222496248,0.9222310666029288,0.9333004544770787,0.9051163859291433,0.8731694469337944,0.8351469809134355,0.8394799956421582,0.8332991200372808,0.8150363840725483,0.8203662380981792,0.8243426992563556,0.7783406334376224,0.8499537045970207,0.8168252049596364,0.8351469809134355,0.9048720993432049,0.828419587383921,0.8106067424765154,0.8145914902371427,0.8905679769221967,0.8042515295310632,0.8276804976319352,0.8168252049596364,0.9448791222496248,0.8662227584681396,0.9202597855643838,0.9448791222496248,0.9448791222496248,0.9448791222496248,0.8881394867715849,0.9279067748168839,0.9448791222496248,0.9448791222496248,0.9448791222496248,0.9448791222496248,0.9448791222496248,0.9448791222496248,0.9448791222496248,0.9448791222496248,0.9401990424464324,0.9448791222496248,0.8351469809134355,0.9372842740937396,0.8139118088559979,0.8106067424765154,0.8041739597935695,0.8439467725052034,0.7914425518779674,0.8026989827277022,0.8380326527383416
datasets/IR-Plag-Dataset/case-02/non-plagiarized/07/Main.java,0.9349131273278578,0.9269652435695648,0.7836286957908716,0.8170064422809162,0.8868635751386933,0.9653292507496529,1.0000000000000002,0.9160515769066893,0.9432784132314833,0.9049225888152431,0.9418604697613991,0.9009461502308242,0.9613315445982522,0.8890840641564743,0.8375370580992902,0.9613315445982522,0.880882501593554,0.9613315445982522,0.9057812863830024,0.9057993949021216,0.9613315445982522,0.9464345337197223,0.9693620682489237,0.9326393500862307,0.8890840641564743,0.872893854645865,0.8413955778363033,0.8612401902466773,0.8499888544340102,0.8317385493182374,0.8379605204952821,0.8005304262615767,0.8751172932823317,0.8349802375390716,0.872893854645865,0.8974991045705678,0.8552765144719227,0.8282471562588994,0.825445828015201,0.9098229197634361,0.8292051809756952,0.846815143188691,0.8349802375390716,0.9613315445982522,0.8790463704552214,0.9390526741645695,0.9613315445982522,0.9613315445982522,0.9613315445982522,0.896256220493749,0.9469240022190623,0.9613315445982522,0.9613315445982522,0.9613315445982522,0.9613315445982522,0.9613315445982522,0.9613315445982522,0.9613315445982522,0.9613315445982522,0.955348780424527,0.9613315445982522,0.872893854645865,0.9075891318312319,0.8353149101881016,0.8282471562588994,0.8118496197424291,0.8442817607043385,0.8115764885595966,0.8233401972021783,0.8593270574810853
datasets/IR-Plag-Dataset/case-02/non-plagiarized/09/t02.java,0.9519652785978376,0.9859872133032485,0.8185079419077771,0.8380723928509763,0.9470732409603226,0.9224529818704391,0.9160515769066893,1.0000000000000002,0.9399199278032054,0.8896620328388076,0.9287277049402677,0.887746956493167,0.9393146391961262,0.8789364364565148,0.9221242438985824,0.9393146391961262,0.859113971623143,0.9393146391961262,0.8906023304133848,0.8823839681735473,0.9393146391961262,0.9238448095424022,0.9342473575195683,0.9111185410017864,0.8789364364565148,0.8453018878150045,0.8801004664781508,0.842625827657502,0.8390317755985477,0.8619770166352037,0.8612138866541484,0.7908342233465204,0.8688432164295506,0.8359654325658714,0.8453018878150045,0.9283719219765435,0.8363973409329516,0.8509211448640804,0.8576776561363866,0.8992974268355283,0.8191682769111277,0.846088745099538,0.8359654325658714,0.9393146391961262,0.8760945053906245,0.9167527947909074,0.9393146391961262,0.9393146391961262,0.9393146391961262,0.8777019691587855,0.9233071263068793,0.9393146391961262,0.9393146391961262,0.9393146391961262,0.9393146391961262,0.9393146391961262,0.9393146391961262,0.9393146391961262,0.9393146391961262,0.9383731397201437,0.9393146391961262,0.8453018878150045,0.9088266119691587,0.8276690779860442,0.8509211448640804,0.8522719330451664,0.8727610376107887,0.8162602470971595,0.8114339972645159,0.854541936914259
datasets/IR-Plag-Dataset/case-02/non-plagiarized/08/T02.java,0.9681146850056329,0.9464110737917825,0.7951990068331233,0.835444017882781,0.9035795185659428,0.9364683572120123,0.9432784132314833,0.9399199278032054,1.0000000000000002,0.9338527491518771,0.959009793050578,0.9154304112396782,0.9794483937399783,0.8966279934847384,0.8587285641556925,0.9794483937399783,0.8761855307154838,0.9794483937399783,0.9114838568164609,0.908054021487729,0.9794483937399783,0.9568223072573836,0.9671835045655102,0.9405326461424793,0.8966279934847384,0.8580172630186225,0.8894678517760308,0.8562038060112952,0.8613778266204097,0.8688748957800546,0.8627262118461861,0.8111799292326406,0.897925823828402,0.8562317474145821,0.8580172630186225,0.9397597921104454,0.8521117867827345,0.8490892887607372,0.8599452708779786,0.9245441572622574,0.8381840427999884,0.869500139821604,0.8562317474145821,0.9794483937399783,0.9168768220044162,0.9546612939648624,0.9794483937399783,0.9794483937399783,0.9794483937399783,0.9077476097744094,0.9623209834232715,0.9794483937399783,0.9794483937399783,0.9794483937399783,0.9794483937399783,0.9794483937399783,0.9794483937399783,0.9794483937399783,0.9794483937399783,0.975035159697838,0.9794483937399783,0.8580172630186225,0.9350542955153505,0.8572226864808444,0.8490892887607372,0.8662443984014236,0.9081770871651174,0.8194980975774634,0.8285289142859433,0.8709224490040234
datasets/IR-Plag-Dataset/case-02/non-plagiarized/01/T02.java,0.9172290694539789,0.9004682243593694,0.7649100747077494,0.8249019841864296,0.8580741068709539,0.8942699882770926,0.9049225888152431,0.8896620328388076,0.9338527491518771,0.9999999999999997,0.9190418212283726,0.8767518659147691,0.941373364234257,0.8590572204423929,0.813100493744037,0.941373364234257,0.8381442227134084,0.941373364234257,0.8769461424736396,0.8695439300342688,0.941373364234257,0.9175759626320512,0.9275777661519724,0.9013797280313424,0.8590572204423929,0.8228345454241812,0.8381358251146973,0.8271106335812931,0.8229224676533936,0.8254323514908202,0.8286167044870422,0.7925968298184397,0.8580807149347165,0.8179008412534263,0.8228345454241812,0.88455342255269,0.8227349127292896,0.8136073428673866,0.8163525232442231,0.8896436081001103,0.8156127494329609,0.8304111271171376,0.8179008412534263,0.941373364234257,0.8713860757455356,0.9207585385574003,0.941373364234257,0.941373364234257,0.941373364234257,0.8814575423218084,0.9281737175465792,0.941373364234257,0.941373364234257,0.941373364234257,0.941373364234257,0.941373364234257,0.941373364234257,0.941373364234257,0.941373364234257,0.9333820672582877,0.941373364234257,0.8228345454241812,0.8897310670803223,0.8137623415150312,0.8136073428673866,0.8099438657106723,0.8359023733713653,0.7996010093390441,0.7893858511162116,0.8329345139444514
