,datasets/IR-Plag-Dataset/case-01/original/T1.java,datasets/IR-Plag-Dataset/case-01/non-plagiarized/03/Nomor1_2451041557A22145B3701B0184109CAB013.java,datasets/IR-Plag-Dataset/case-01/non-plagiarized/04/T01.java,datasets/IR-Plag-Dataset/case-01/non-plagiarized/05/T01.java,datasets/IR-Plag-Dataset/case-01/non-plagiarized/02/T01.java,datasets/IR-Plag-Dataset/case-01/non-plagiarized/11/T01.java,datasets/IR-Plag-Dataset/case-01/non-plagiarized/10/Main.java,datasets/IR-Plag-Dataset/case-01/non-plagiarized/07/Main.java,datasets/IR-Plag-Dataset/case-01/non-plagiarized/09/t01.java,datasets/IR-Plag-Dataset/case-01/non-plagiarized/08/T01.java,datasets/IR-Plag-Dataset/case-01/non-plagiarized/01/T01.java,datasets/IR-Plag-Dataset/case-01/non-plagiarized/06/T01.java,datasets/IR-Plag-Dataset/case-01/non-plagiarized/15/T01.java,datasets/IR-Plag-Dataset/case-01/non-plagiarized/12/T01.java,datasets/IR-Plag-Dataset/case-01/non-plagiarized/13/No1.java,datasets/IR-Plag-Dataset/case-01/non-plagiarized/14/Soal1.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L3/03/HelloWorld.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L3/04/hellow.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L3/05/Kasus1L3.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L3/02/Main.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L3/01/L3.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L3/06/Level3.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L4/03/Main.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L4/04/HelloWorld.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L4/05/hellow.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L4/02/Main.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L4/01/L4.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L4/06/Level4.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L5/03/WelcomeToJava.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L5/04/hellow.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L5/05/PrintJava.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L5/02/Main.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L5/01/L5.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L2/03/WelcomeToJava.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L2/04/hellow.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L2/05/PrintJava.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L2/02/Main.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L2/01/L2.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L1/03/Main.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L1/04/T1.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L1/05/HelloWorld.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L1/02/Main.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L1/07/Main.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L1/09/Level1.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L1/08/Kasus1L1.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L1/01/L1.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L1/06/HelloWorld.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L6/03/Main.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L6/04/WelcomeToJava.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L6/05/HelloWorld.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L6/02/Main.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L6/07/PrintJava.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L6/09/Level6.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L6/08/Kasus1L6.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L6/01/L6.java,datasets/IR-Plag-Dataset/case-01/plagiarized/L6/06/hellow.java
datasets/IR-Plag-Dataset/case-01/original/T1.java,1.0,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.5549890273805604,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.657793514480272,0.6454972243679028,1.0,0.6454972243679028,1.0,1.0,0.7354203038098784,1.0,1.0,1.0,0.9928914005737655,0.738203801765594,0.9928914005737655,0.882004591124917,0.9928914005737655,0.725629700011281,0.8206555975292544,0.9928914005737655,0.8600131635675319,0.7639898923124282,0.7639898923124282,0.9938079899999066,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7639898923124282,0.7349777599984287,0.6783865662978104,0.706439384359044,0.8600131635675319,0.6595178300212527,0.7514691493021793,0.7639898923124282,0.9928914005737655
datasets/IR-Plag-Dataset/case-01/non-plagiarized/03/Nomor1_2451041557A22145B3701B0184109CAB013.java,0.6454972243679028,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.9553170046101167,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.9813067629253165,1.0000000000000002,0.6454972243679028,0.9629629629629632,0.6454972243679028,0.6454972243679028,0.6225728063646903,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6197797868009122,0.5940885257860046,0.6197797868009122,0.4490502093697089,0.6197797868009122,0.6245226097015945,0.8415583256896035,0.6197797868009122,0.9252268500045013,0.9622504486493765,0.9622504486493765,0.6628836424029037,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.9622504486493765,0.8593378488473196,0.8944271909999159,0.951661902861773,0.9252268500045013,0.8340576562282991,0.8623488890180726,0.9622504486493765,0.6197797868009122
datasets/IR-Plag-Dataset/case-01/non-plagiarized/04/T01.java,0.6454972243679028,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.9553170046101167,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.9813067629253165,1.0000000000000002,0.6454972243679028,0.9629629629629632,0.6454972243679028,0.6454972243679028,0.6225728063646903,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6197797868009122,0.5940885257860046,0.6197797868009122,0.4490502093697089,0.6197797868009122,0.6245226097015945,0.8415583256896035,0.6197797868009122,0.9252268500045013,0.9622504486493765,0.9622504486493765,0.6628836424029037,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.9622504486493765,0.8593378488473196,0.8944271909999159,0.951661902861773,0.9252268500045013,0.8340576562282991,0.8623488890180726,0.9622504486493765,0.6197797868009122
datasets/IR-Plag-Dataset/case-01/non-plagiarized/05/T01.java,0.6454972243679028,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.9553170046101167,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.9813067629253165,1.0000000000000002,0.6454972243679028,0.9629629629629632,0.6454972243679028,0.6454972243679028,0.6225728063646903,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6197797868009122,0.5940885257860046,0.6197797868009122,0.4490502093697089,0.6197797868009122,0.6245226097015945,0.8415583256896035,0.6197797868009122,0.9252268500045013,0.9622504486493765,0.9622504486493765,0.6628836424029037,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.9622504486493765,0.8593378488473196,0.8944271909999159,0.951661902861773,0.9252268500045013,0.8340576562282991,0.8623488890180726,0.9622504486493765,0.6197797868009122
datasets/IR-Plag-Dataset/case-01/non-plagiarized/02/T01.java,0.6454972243679028,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.9553170046101167,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.9813067629253165,1.0000000000000002,0.6454972243679028,0.9629629629629632,0.6454972243679028,0.6454972243679028,0.6225728063646903,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6197797868009122,0.5940885257860046,0.6197797868009122,0.4490502093697089,0.6197797868009122,0.6245226097015945,0.8415583256896035,0.6197797868009122,0.9252268500045013,0.9622504486493765,0.9622504486493765,0.6628836424029037,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.9622504486493765,0.8593378488473196,0.8944271909999159,0.951661902861773,0.9252268500045013,0.8340576562282991,0.8623488890180726,0.9622504486493765,0.6197797868009122
datasets/IR-Plag-Dataset/case-01/non-plagiarized/11/T01.java,0.6454972243679028,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.9553170046101167,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.9813067629253165,1.0000000000000002,0.6454972243679028,0.9629629629629632,0.6454972243679028,0.6454972243679028,0.6225728063646903,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6197797868009122,0.5940885257860046,0.6197797868009122,0.4490502093697089,0.6197797868009122,0.6245226097015945,0.8415583256896035,0.6197797868009122,0.9252268500045013,0.9622504486493765,0.9622504486493765,0.6628836424029037,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.9622504486493765,0.8593378488473196,0.8944271909999159,0.951661902861773,0.9252268500045013,0.8340576562282991,0.8623488890180726,0.9622504486493765,0.6197797868009122
datasets/IR-Plag-Dataset/case-01/non-plagiarized/10/Main.java,0.6454972243679028,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.9553170046101167,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.9813067629253165,1.0000000000000002,0.6454972243679028,0.9629629629629632,0.6454972243679028,0.6454972243679028,0.6225728063646903,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6197797868009122,0.5940885257860046,0.6197797868009122,0.4490502093697089,0.6197797868009122,0.6245226097015945,0.8415583256896035,0.6197797868009122,0.9252268500045013,0.9622504486493765,0.9622504486493765,0.6628836424029037,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.9622504486493765,0.8593378488473196,0.8944271909999159,0.951661902861773,0.9252268500045013,0.8340576562282991,0.8623488890180726,0.9622504486493765,0.6197797868009122
datasets/IR-Plag-Dataset/case-01/non-plagiarized/07/Main.java,0.5549890273805604,0.9553170046101167,0.9553170046101167,0.9553170046101167,0.9553170046101167,0.9553170046101167,0.9553170046101167,1.0,0.9553170046101167,0.9553170046101167,0.9553170046101167,0.9553170046101167,0.9421114395319917,0.9553170046101167,0.5549890273805604,0.9245003270420484,0.5549890273805604,0.5549890273805604,0.6734154528172213,0.5549890273805604,0.5549890273805604,0.5549890273805604,0.5313148617302949,0.6178894159287259,0.5313148617302949,0.39142437596799073,0.5313148617302949,0.6741200707755891,0.7752423010845507,0.5313148617302949,0.8578164469184383,0.9073928715621606,0.9073928715621606,0.569344546862532,0.5549890273805604,0.5549890273805604,0.5549890273805604,0.5549890273805604,0.5549890273805604,0.5549890273805604,0.5549890273805604,0.5549890273805604,0.5549890273805604,0.5549890273805604,0.5549890273805604,0.5549890273805604,0.5549890273805604,0.9073928715621606,0.8540424814713792,0.9095880536541953,0.967792914472084,0.8578164469184383,0.9060267267471096,0.8744746321952062,0.9073928715621606,0.5313148617302949
datasets/IR-Plag-Dataset/case-01/non-plagiarized/09/t01.java,0.6454972243679028,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.9553170046101167,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.9813067629253165,1.0000000000000002,0.6454972243679028,0.9629629629629632,0.6454972243679028,0.6454972243679028,0.6225728063646903,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6197797868009122,0.5940885257860046,0.6197797868009122,0.4490502093697089,0.6197797868009122,0.6245226097015945,0.8415583256896035,0.6197797868009122,0.9252268500045013,0.9622504486493765,0.9622504486493765,0.6628836424029037,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.9622504486493765,0.8593378488473196,0.8944271909999159,0.951661902861773,0.9252268500045013,0.8340576562282991,0.8623488890180726,0.9622504486493765,0.6197797868009122
datasets/IR-Plag-Dataset/case-01/non-plagiarized/08/T01.java,0.6454972243679028,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.9553170046101167,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.9813067629253165,1.0000000000000002,0.6454972243679028,0.9629629629629632,0.6454972243679028,0.6454972243679028,0.6225728063646903,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6197797868009122,0.5940885257860046,0.6197797868009122,0.4490502093697089,0.6197797868009122,0.6245226097015945,0.8415583256896035,0.6197797868009122,0.9252268500045013,0.9622504486493765,0.9622504486493765,0.6628836424029037,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.6454972243679028,0.9622504486493765,0.8593378488473196,0.8944271909999159,0.951661902861773,0.9252268500045013,0.8340576562282991,0.8623488890180726,0.9622504486493765,0.6197797868009122
